model,example,source_setup,p,n0,N,T,replicate,selected_sources,num_selected_sources
linear,exm1,exm1_6source_shift,5,250,5000,500,216,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,217,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,218,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,219,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,220,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,221,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,222,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,223,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,224,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,225,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,226,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,227,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,228,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,229,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,230,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,231,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,232,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,233,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,234,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,235,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,236,"m1s1,m2s2,m3s3",3
linear,exm1,exm1_6source_shift,5,250,5000,500,237,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,238,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,239,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,240,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,241,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,242,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,243,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,244,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,245,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,246,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,247,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,248,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,249,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,250,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,251,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,252,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,253,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,254,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,255,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,256,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,257,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,258,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,259,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,260,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,261,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,262,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,263,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,264,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,265,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,266,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,267,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,268,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,269,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,270,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,271,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,272,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,273,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,274,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,275,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,276,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,277,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,278,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,279,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,280,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,281,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,282,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,283,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,284,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,285,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,286,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,287,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,288,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,289,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,290,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,291,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,292,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,293,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,294,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,295,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,296,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,297,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,298,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,299,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,300,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,301,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,302,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,303,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,304,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,305,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,306,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,307,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,308,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,309,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,310,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,311,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,312,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,313,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,314,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,315,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,316,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,317,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,318,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,319,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,320,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,321,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,322,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,323,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,324,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,325,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,326,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,327,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,328,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,329,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,330,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,331,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,332,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,333,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,334,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,335,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,336,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,337,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,338,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,339,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,340,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,341,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,342,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,343,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,344,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,345,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,346,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,347,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,348,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,349,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,350,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,351,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,352,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,353,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,354,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,355,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,356,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,357,"m1s1,m2s2",2
